id,year,PublicationDate,Trust,Fear,Sadness,Anticipation,Joy,Disgust,Surprise,Anger,data_source,article_type
301,1882,1882/5/22,0.65,0.50,0.45,0.72,0.60,0.58,0.48,0.55,LO,Correspondence
302,1883,1883/2/18,0.42,0.68,0.62,0.50,0.38,0.80,0.58,0.82,LO,Correspondence
303,1883,1883/9/12,0.78,0.38,0.32,0.85,0.72,0.42,0.38,0.40,LO,Correspondence
304,1884,1884/7/4,0.35,0.75,0.72,0.42,0.30,0.88,0.65,0.90,LO,Correspondence
305,1885,1885/11/26,0.82,0.30,0.25,0.88,0.78,0.35,0.32,0.28,LO,Correspondence
306,1886,1886/3/15,0.48,0.62,0.60,0.52,0.42,0.72,0.48,0.75,LO,Correspondence
307,1887,1887/8/8,0.75,0.42,0.38,0.80,0.70,0.48,0.42,0.45,LO,Correspondence
308,1887,1887/12/20,0.40,0.70,0.65,0.48,0.35,0.82,0.55,0.85,LO,Correspondence
309,1888,1888/4/10,0.72,0.40,0.35,0.78,0.68,0.48,0.42,0.45,LO,Correspondence
310,1888,1888/10/28,0.45,0.65,0.60,0.52,0.40,0.75,0.52,0.78,LO,Correspondence
