id,year,PublicationDate,Trust,Fear,Sadness,Anticipation,Joy,Disgust,Surprise,Anger,data_source,article_type
201,1891,1891/9/5,0.60,0.50,0.40,0.70,0.55,0.65,0.45,0.60,LWR,Editorial
202,1891,1891/10/12,0.45,0.65,0.55,0.55,0.40,0.75,0.50,0.78,LWR,Editorial
203,1895,1895/3/21,0.75,0.35,0.30,0.82,0.70,0.42,0.38,0.35,LWR,Editorial
204,1895,1895/7/18,0.38,0.72,0.68,0.45,0.32,0.85,0.55,0.88,LWR,Editorial
205,1900,1900/1/10,0.68,0.45,0.40,0.75,0.62,0.55,0.48,0.50,LWR,Editorial
206,1900,1900/8/25,0.52,0.60,0.58,0.58,0.48,0.70,0.42,0.72,LWR,Editorial
207,1905,1905/4/15,0.82,0.30,0.25,0.88,0.78,0.35,0.32,0.28,LWR,Editorial
208,1905,1905/11/3,0.35,0.75,0.72,0.42,0.30,0.88,0.60,0.90,LWR,Editorial
209,1910,1910/2/14,0.72,0.40,0.35,0.78,0.68,0.48,0.42,0.45,LWR,Editorial
210,1910,1910/9/7,0.48,0.62,0.60,0.52,0.42,0.72,0.48,0.75,LWR,Editorial
211,1914,1914/6/20,0.85,0.32,0.28,0.90,0.80,0.38,0.35,0.32,LWR,Editorial
212,1914,1914/12/12,0.40,0.70,0.65,0.48,0.35,0.82,0.55,0.85,LWR,Editorial
213,1918,1918/5/8,0.58,0.55,0.52,0.65,0.52,0.62,0.50,0.68,LWR,Editorial
214,1918,1918/10/30,0.70,0.45,0.40,0.75,0.65,0.52,0.45,0.48,LWR,Editorial
215,1920,1920/3/15,0.78,0.38,0.32,0.85,0.72,0.42,0.38,0.40,LWR,Editorial
216,1920,1920/8/21,0.42,0.68,0.62,0.50,0.38,0.80,0.58,0.82,LWR,Editorial
217,1921,1921/1/9,0.88,0.28,0.25,0.92,0.85,0.32,0.30,0.28,LWR,Editorial
218,1921,1921/6/18,0.45,0.65,0.60,0.52,0.40,0.75,0.52,0.78,LWR,Editorial
219,1921,1921/9/14,0.65,0.50,0.45,0.72,0.60,0.58,0.48,0.55,LWR,Editorial
220,1921,1921/12/3,0.75,0.42,0.38,0.80,0.70,0.48,0.42,0.45,LWR,Editorial
